index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.119855967078185,111.95473251028818,8.461111111111101,2.240818113876246,False
1,3.0,200.0,17.5,True,3.4298353909465,152.81207133058967,22.061042524005487,1.5168717578719464,False
2,3.25,150.0,13.25,True,3.422824351641345,124.61384752162093,13.529047863042763,0.0021541296050911775,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,3.6145861911294017,139.72793781435752,19.262471422039336,0.7950348772416399,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.569315843621399,139.03463648834014,19.155675582990384,0.7720240638605353,False
7,2.625,225.0,15.375,True,2.625,225.0,15.375,,False
8,2.6875,162.5,24.9375,True,3.5656378600823064,147.85493827160496,25.127353395061732,1.5762848667384122,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,4.155807041609506,111.16255144032914,17.02107338820305,5.005136537639721,False
11,2.9375,212.5,12.1875,True,3.1557725694444447,209.40104166666669,12.348307291666668,12.793284855032272,False
12,2.8125,137.5,14.3125,True,3.422823966094964,124.61389487849151,13.529058359262969,0.002154129606328021,True
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.9812499999999953,131.24999999999983,11.73958333333334,1.5218972229945569,False
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.0356481481481525,143.51851851851842,17.59722222222222,1.4216972682588624,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.422825133600325,124.61391730419663,13.529068932365568,0.0021541296046532197,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,3.364583333333333,140.52083333333331,17.118750000000013,0.6277572425674717,False
21,3.46875,218.75,14.84375,True,3.46875,218.75,14.84375,,False
22,3.21875,168.75,19.09375,True,3.650896990740739,139.29687499999997,19.800925925925934,0.8258324958366543,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.4228261540891545,124.61390174990224,13.529065929517543,0.002154129606468446,True
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,3.8347568729995416,148.00322216506635,23.46242623313901,1.422682966024556,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.27454989711934,120.96514917695464,12.245058513374488,0.3014796346965609,False
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,3.422824538280449,124.61386552481628,13.529055091941284,0.0021541296049631714,True
31,2.53125,206.25,24.40625,True,3.1171875000000013,147.0486111111112,24.361053240740723,2.2231253917244773,False
