index,sigma_guess,epsilon_guess,lr_guess,optimized,sigma_sol,epsilon_sol,lr_sol,of,solved_success
0,2.5,100.0,9.0,True,3.4444444444444446,117.77777777777771,7.0,1.3719848832244783,False
1,3.0,200.0,17.5,True,3.655555555555554,172.59259259259272,17.305555555555543,1.5200266229407728,False
2,3.25,150.0,13.25,True,3.800748634130059,140.09519623475572,10.769877718412516,0.023559554736805467,True
3,2.75,250.0,21.75,True,2.75,250.0,21.75,,False
4,2.875,175.0,19.625,True,4.222910951074539,152.1547782350246,13.251586076817503,0.9340157933716908,False
5,3.375,275.0,11.125,True,3.375,275.0,11.125,,False
6,3.125,125.0,23.875,True,3.75,156.25,14.324999999999989,1.192905385415009,False
7,2.625,225.0,15.375,True,3.3493055555555555,157.91666666666674,14.492361111111094,1.6936285764920134,False
8,2.6875,162.5,24.9375,True,3.281035665294926,186.47005029721095,17.33196159122082,3.533358366748121,False
9,3.1875,262.5,16.4375,True,3.1875,262.5,16.4375,,False
10,3.4375,112.5,20.6875,True,3.992999292695473,119.04803240740743,13.966722929526746,26.116413706438088,False
11,2.9375,212.5,12.1875,True,3.5693244170095997,152.40826474622753,12.792695473251026,0.8721391773857855,False
12,2.8125,137.5,14.3125,True,3.800694552787145,140.09322331090306,10.768538266244096,0.023558967562002403,True
13,3.3125,237.5,22.8125,True,3.3125,237.5,22.8125,,False
14,3.0625,187.5,10.0625,True,3.801221433043085,140.09527709612965,10.769919148242945,0.02355944662224208,True
15,2.5625,287.5,18.5625,True,2.5625,287.5,18.5625,,False
16,2.59375,193.75,16.96875,True,3.8313850308642063,178.44135802469157,16.90590277777782,1.9754414201888184,False
17,3.09375,293.75,25.46875,True,3.09375,293.75,25.46875,,False
18,3.34375,143.75,12.71875,True,3.800691220164194,140.09303233347725,10.768410689207391,0.023558972373970342,True
19,2.84375,243.75,21.21875,True,2.84375,243.75,21.21875,,False
20,2.96875,118.75,23.34375,True,4.7685546875,112.56510416666656,19.59902343749999,83.66454725790408,False
21,3.46875,218.75,14.84375,True,4.059722222222223,162.03703703703707,15.393518518518515,1.251222691983436,False
22,3.21875,168.75,19.09375,True,3.752228009259259,169.53125,15.50483217592594,1.5229259141925202,False
23,2.71875,268.75,10.59375,True,2.71875,268.75,10.59375,,False
24,2.65625,131.25,18.03125,True,3.3350694444444464,156.04166666666663,13.022569444444436,1.2798712709435862,False
25,3.15625,231.25,9.53125,True,3.15625,231.25,9.53125,,False
26,3.40625,181.25,22.28125,True,4.610118741426607,153.8263031550066,13.85624785665295,1.2773369989295822,False
27,2.90625,281.25,13.78125,True,2.90625,281.25,13.78125,,False
28,2.78125,156.25,11.65625,True,3.804684990241799,140.11606471024686,10.783938769142928,0.023609399032661838,True
29,3.28125,256.25,20.15625,True,3.28125,256.25,20.15625,,False
30,3.03125,106.25,15.90625,True,4.193229166666672,135.1736111111111,8.660069444444431,1.5445005649575263,False
31,2.53125,206.25,24.40625,True,3.8744791666666663,179.00462962962968,24.386162551440307,2.777106430029494,False
